.54 56934476
-0.03 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
0.00 2.66 3091704
-0.00 2.69 3096844
-0.00 2.68 3101728
-0.00 2.56 3106936
0.00 2.30 3111896
0.00 1.94 3116984
0.00 1.48 3121928
0.00 1.06 3126988
0.00 0.69 3131940
0.00 0.47 3137016
-0.00 0.38 3141956
-0.00 0.43 3147020
-0.01 0.59 3151964
-0.02 0.84 3157028
-0.02 1.19 3161968
-0.03 1.62 3167036
-0.04 2.14 3172068
-0.05 2.57 3177140
-0.06 2.93 3182168
-0.07 3.21 3187324
-0.08 3.43 3192228
-0.10 3.62 3197376
-0.11 3.74 3202340
-0.13 3.76 3207496
-0.15 3.73 3212716
-0.17 3.66 3217608
-0.19 3.58 3222852
-0.21 3.55 3227748
-0.23 3.54 3232948
-0.25 3.56 3237936
-0.28 3.63 3243068
-0.31 3.78 3248096
-0.33 3.98 3253164
-0.36 4.29 3258100
-0.38 4.70 3263264
-0.40 5.16 3268256
-0.42 5.58 3273408
-0.44 5.88 3278344
-0.47 6.13 3283512
-0.50 0.00 3288436
-0.52 6.40 3293612
-0.55 6.56 3298872
-0.58 6.74 3303856
-0.60 6.84 3309088
-0.62 6.90 3314056
-0.65 6.90 3319120
-0.67 6.91 3324168
-0.70 6.91 3329320
-0.72 6.91 3334324
-0.74 6.92 3339456
-0.76 6.94 3344416
-0.78 7.03 3349564
-0.80 7.15 3354804
-0.81 7.32 3359684
-0.80 7.53 3364932
-0.79 7.81 3369832
-0.79 8.12 3375036
-0.80 8.47 3380012
-0.79 8.80 3385152
-0.79 9.13 3390092
-0.79 9.42 3395172
-0.78 9.71 3400204
-0.78 9.98 3405360
-0.78 10.26 3410388
-0.78 10.53 3415568
-0.78 10.76 3420524
-0.77 10.95 3425768
-0.75 11.07 3431028
-0.74 11.13 3436024
-0.73 11.12 3441260
-0.72 11.10 3446308
-0.70 11.10 3451464
-0.68 11.11 3456468
-0.67 11.12 3461620
-0.66 11.19 3466588
-0.64 11.33 3471836
-0.62 11.56 3477104
-0.61 11.81 3482084
-0.59 12.07 3487316
-0.57 12.35 3492376
-0.55 6.34 3497584
-0.53 12.88 3502632
-0.51 13.20 3507880
-0.50 13.50 3513124
-0.48 13.78 3518116
-0.46 13.99 3523348
-0.45 14.11 3528400
-0.43 14.14 3533584
-0.42 14.12 3538584
-0.40 14.05 3543712
-0.39 14.00 3548684
-0.37 13.97 3553924
-0.36 13.99 3559184
-0.35 14.07 3564172
-0.34 14.19 3569400
-0.33 14.34 3574460
-0.32 14.53 3579720
-0.31 14.73 3584728
-0.29 14.96 3589952
-0.28 15.15 3595212
-0.27 15.33 3600204
-0.26 15.47 3605440
-0.25 15.58 3610492
-0.24 15.67 3615756
-0.23 15.71 3620756
-0.22 15.73 3626016
-0.21 15.73 3631256
-0.20 15.73 3636236
-0.19 15.74 3641460
-0.18 15.75 3646472
-0.17 15.78 3651596
-0.17 15.82 3656668
-0.16 15.87 3661848
-0.16 15.94 3666812
-0.15 16.04 3672056
-0.15 16.15 3677316
-0.15 16.30 3682292
-0.15 16.48 3687528
-0.15 16.67 3692580
-0.15 16.86 3697756
-0.15 17.03 3702732
-0.15 17.15 3707920
-0.14 17.19 3712888
-0.14 17.18 3718120
-0.14 17.13 3723400
-0.14 17.05 3728372
-0.14 17.00 3733596
-0.14 16.96 3738556
-0.14 16.95 3743716
-0.15 16.96 3748792
-0.15 16.99 3753976
-0.15 17.03 3758936
-0.16 17.09 3764192
-0.16 17.13 3769460
-0.16 17.16 3774348
-0.15 17.16 3779616
-0.15 17.16 3784568
-0.15 17.16 3789676
-0.15 17.16 3794672
-0.15 17.16 3799780
-0.14 17.16 3804824
-0.14 17.16 3809964
-0.14 17.16 3814916
-0.13 17.16 3820024
-0.13 17.16 3824952
-0.12 17.16 3830044
-0.12 17.16 3834964
-0.11 17.16 3840172
-0.10 17.16 3845488
-0.09 17.15 3850444
-0.08 17.15 3855776
-0.07 17.14 3860832
-0.06 17.13 3865988
-0.04 17.11 3870980
-0.03 17.09 3876132
-0.02 17.08 3881084
-0.00 17.06 3886256
0.01 17.04 3891488
0.02 17.02 3896416
0.04 16.98 3901716
0.06 16.93 3906724
0.08 16.87 3911848
0.09 16.79 3916880
0.11 16.71 3922044
0.13 16.62 3927032
0.15 16.53 3932196
0.16 16.45 3937148
0.18 16.37 3942392
0.20 16.32 3947656
0.22 16.27 3952632
0.24 16.23 3957864
0.26 16.20 3962916
0.28 16.15 3968096
0.29 16.09 3973076
0.31 16.02 3978236
0.33 15.93 3983196
0.34 15.82 3988452
0.36 15.71 3993696
0.37 15.57 3998684
0.39 15.43 4003900
0.40 15.27 4008872
0.42 15.10 4014028
0.43 14.90 4019088
0.44 14.68 4024280
0.46 14.49 4029596
0.47 14.31 4034524
0.48 14.17 4039824
0.49 14.08 4044828
0.50 14.06 4049956
0.50 14.06 4055004
0.51 14.06 4060156
0.52 14.03 4065164
0.53 13.99 4070324
0.54 13.94 4075652
0.54 13.83 4080572
0.54 13.70 4085872
0.55 13.51 4090892
0.55 13.31 4096016
0.55 13.07 4101060
0.55 12.85 4106224
0.55 12.61 4111216
0.55 12.38 4116372
0.55 12.16 4121340
0.55 11.92 4126564
0.55 11.71 4131796
0.55 11.48 4136740
0.55 11.30 4142028
0.55 11.14 4147016
0.55 11.02 4152168
0.55 10.98 4157228
0.55 10.99 4162412
0.55 10.99 4167368
0.55 10.98 4172520
0.55 10.94 4177388
0.55 10.83 4182636
0.55 10.68 4187868
0.55 10.43 4192780
0.55 10.17 4197984
0.55 9.87 4202956
0.55 9.61 4208092
0.55 9.34 4213032
0.55 9.09 4218092
0.55 8.78 4223040
0.55 8.46 4228108
0.55 8.11 4233040
0.55 7.79 4238104
0.55 7.53 4243060
0.55 7.34 4248136
0.55 7.25 4253072
0.55 7.25 4258136
0.55 7.28 4263076
0.55 7.31 4268148
0.55 7.33 4273080
0.55 7.31 4278148
0.55 7.26 4283108
0.55 7.20 4288264
0.55 7.05 4293212
0.55 6.87 4298288
0.55 6.64 4303244
0.55 6.37 4308388
0.55 6.07 4313372
0.55 5.73 4318488
0.55 5.35 4323384
0.55 4.89 4328496
0.55 4.43 4333380
0.55 4.04 4338488
0.55 3.79 4343380
0.55 3.64 4348412
0.55 3.64 4353424
0.55 3.74 4358564
0.55 3.89 4363528
0.55 4.07 4368672
0.55 4.20 4373892
0.55 4.26 4378788
0.55 4.22 4384044
0.55 4.04 4388936
0.55 3.79 4394144
0.55 3.49 4399032
0.54 3.19 4404248
0.54 2.85 4409232
0.53 2.49 4414300
0.52 2.05 4419232
0.52 1.63 4424308
0.51 1.26 4429268
0.51 1.01 4434332
0.50 0.92 4439280
0.50 0.98 4444340
0.49 1.18 4449292
0.48 1.47 4454344
0.47 1.85 4459280
0.46 2.19 4464348
0.44 2.46 4469292
0.43 2.62 4474364
0.41 2.66 4479304
0.39 2.59 4484368
0.37 2.41 4489312
0.35 2.12 4494372
0.32 1.71 4499304
0.30 1.26 4504364
0.27 0.82 4509288
0.23 0.51 4514368
