.96 9506448
0.05 8.96 9511452
6
0.08 9.07 9481436
0.07 9.03 9486444
0.06 9.00 9491440
0.06 8.98 9496444
0.06 8.96 9501448
0.05 8.96 9506448
0.05 8.96 9511452
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
-0.00 1.51 2323768
-0.00 1.53 2328772
-0.00 1.67 2333768
-0.00 1.91 2338780
-0.00 2.23 2343780
-0.00 2.58 2348776
-0.00 2.93 2353788
-0.00 3.27 2358788
-0.00 3.62 2363792
-0.00 4.00 2368800
-0.00 4.48 2373820
0.00 5.10 2378820
-0.00 5.71 2383836
-0.00 6.21 2388840
-0.01 6.60 2393852
-0.01 7.03 2398856
-0.02 7.60 2403864
-0.02 8.35 2408868
-0.03 9.01 2413868
-0.04 9.52 2418872
-0.05 9.94 2423876
-0.06 10.37 2428872
-0.08 10.85 2434864
-0.09 11.17 2440872
-0.11 11.22 2446872
-0.12 11.05 2452876
-0.14 10.73 2458880
-0.16 10.37 2464880
-0.18 10.04 2470884
-0.21 9.77 2476884
-0.23 9.59 2481896
-0.25 9.48 2486900
-0.27 9.45 2491900
-0.29 9.50 2496912
-0.31 9.62 2501912
-0.33 9.81 2507908
-0.35 10.00 2512928
-0.38 10.27 2518916
-0.41 10.59 2524924
-0.44 10.93 2530932
-0.47 11.23 2536932
-0.50 11.46 2542932
-0.53 11.57 2548936
-0.56 11.57 2554944
-0.59 11.52 2560940
-0.63 11.42 2566944
-0.66 11.31 2572940
-0.70 11.22 2578948
-0.74 11.18 2584952
-0.78 11.18 2590956
-0.81 11.18 2596956
-0.83 11.18 2602956
-0.83 11.18 2608968
-0.83 11.18 2613980
-0.82 11.19 2619972
-0.82 11.19 2625964
-0.83 11.19 2631972
-0.83 11.19 2637964
-0.83 11.18 2643984
-0.83 11.18 2649980
-0.82 11.18 2655992
-0.81 11.18 2661992
-0.80 11.18 2668004
