time,θ2
0,0
0.01,1.772453756
0.02,7.041674178
0.03,15.66868792
0.04,27.43862379
0.05,42.08151947
0.06,59.2946558
0.07,78.76278945
0.08,100.1741444
0.09,123.2315242
0.1,147.6589617
0.11,173.2048406
0.12,199.6425262
0.13,226.7694173
0.14,254.4051166
0.15,282.3892037
0.16,310.5789217
0.17,338.8469585
0.18,367.0794171
0.19,395.174013
0.2,423.0385069
0.21,450.5893578
0.22,477.7505781
0.23,504.4527651
0.24,530.6322854
0.25,556.2305899
0.26,581.1936389
0.27,605.4714204
0.28,629.0175461
0.29,651.7889129
0.3,673.7454184
0.31,694.8497227
0.32,715.0670479
0.33,734.3650096
0.34,752.7134754
0.35,770.0844456
0.36,786.4519528
0.37,801.7919778
0.38,816.0823781
0.39,829.3028284
0.4,841.4347701
0.41,852.4613697
0.42,862.3674832
0.43,871.1396264
0.44,878.7659514
0.45,885.2362256
0.46,890.541816
0.47,894.6756758
0.48,897.6323342
0.49,899.4078887
0.5,900
0.51,899.4078887
0.52,897.6323342
0.53,894.6756758
0.54,890.541816
0.55,885.2362256
0.56,878.7659514
0.57,871.1396264
0.58,862.3674832
0.59,852.4613697
0.6,841.4347701
0.61,829.3028284
0.62,816.0823781
0.63,801.7919778
0.64,786.4519528
0.65,770.0844456
0.66,752.7134754
0.67,734.3650096
0.68,715.0670479
0.69,694.8497227
0.7,673.7454184
0.71,651.7889129
0.72,629.0175461
0.73,605.4714204
0.74,581.1936389
0.75,556.2305899
0.76,530.6322854
0.77,504.4527651
0.78,477.7505781
0.79,450.5893578
0.8,423.0385069
0.81,395.174013
0.82,367.0794171
0.83,338.8469585
0.84,310.5789217
0.85,282.3892037
0.86,254.4051166
0.87,226.7694173
0.88,199.6425262
0.89,173.2048406
0.9,147.6589617
0.91,123.2315242
0.92,100.1741444
0.93,78.76278945
0.94,59.2946558
0.95,42.08151947
0.96,27.43862379
0.97,15.66868792
0.98,7.041674178
0.99,1.772453756
1,0
