time,x
0.00,0
0.01,-3.585857495
0.02,-7.088495086
0.03,-10.43246108
0.04,-13.55611376
0.05,-16.41488516
0.06,-18.98166907
0.07,-21.24499299
0.08,-23.20594859
0.09,-24.87477404
0.10,-26.26769855
0.11,-27.40435578
0.12,-28.30584357
0.13,-28.99337523
0.14,-29.48741087
0.15,-29.80714791
0.16,-29.97026454
0.17,-29.99283174
0.18,-29.88933142
0.19,-29.67273719
0.20,-29.35462809
0.21,-28.94531633
0.22,-28.45397704
0.23,-27.88877326
0.24,-27.2569722
0.25,-26.56505118
0.26,-25.81879269
0.27,-25.02336891
0.28,-24.18341633
0.29,-23.3031013
0.30,-22.38617756
0.31,-21.43603651
0.32,-20.45575128
0.33,-19.44811522
0.34,-18.41567567
0.35,-17.36076359
0.36,-16.28551955
0.37,-15.1919167
0.38,-14.08178106
0.39,-12.9568095
0.40,-11.81858574
0.41,-10.66859469
0.42,-9.508235335
0.43,-8.338832384
0.44,-7.161646847
0.45,-5.977885764
0.46,-4.788711182
0.47,-3.595248524
0.48,-2.398594473
0.49,-1.199824483
0.50,0
0.51,1.199824483
0.52,2.398594473
0.53,3.595248524
0.54,4.788711182
0.55,5.977885764
0.56,7.161646847
0.57,8.338832384
0.58,9.508235335
0.59,10.66859469
0.60,11.81858574
0.61,12.9568095
0.62,14.08178106
0.63,15.1919167
0.64,16.28551955
0.65,17.36076359
0.66,18.41567567
0.67,19.44811522
0.68,20.45575128
0.69,21.43603651
0.70,22.38617756
0.71,23.3031013
0.72,24.18341633
0.73,25.02336891
0.74,25.81879269
0.75,26.56505118
0.76,27.2569722
0.77,27.88877326
0.78,28.45397704
0.79,28.94531633
0.8,29.35462809
0.81,29.67273719
0.82,29.88933142
0.83,29.99283174
0.84,29.97026454
0.85,29.80714791
0.86,29.48741087
0.87,28.99337523
0.88,28.30584357
0.89,27.40435578
0.90,26.26769855
0.91,24.87477404
0.92,23.20594859
0.93,21.24499299
0.94,18.98166907
0.95,16.41488516
0.96,13.55611376
0.97,10.43246108
0.98,7.088495086
0.99,3.585857495
1.00,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
