time,É∆1
0.00,0
0.01,-3.790834471
0.02,-5.655031958
0.03,-7.29815266
0.04,-8.869470198
0.05,-10.42265832
0.06,-11.98182535
0.07,-13.55767132
0.08,-15.15303138
0.09,-16.76507647
0.10,-18.38620269
0.11,-20.00432782
0.12,-21.60289355
0.13,-23.16071049
0.14,-24.651708
0.15,-26.04460428
0.16,-27.30246952
0.17,-28.38210156
0.18,-29.2330533
0.19,-29.796014
0.20,-29.99998984
0.21,-29.75719046
0.22,-28.95326142
0.23,-26.93820825
0.24,-24.92315507
0.25,-23.90571178
0.26,-23.12966779
0.27,-22.32728968
0.28,-21.5007249
0.29,-20.65193107
0.30,-19.78269994
0.31,-18.89467789
0.32,-17.98938355
0.33,-17.06822304
0.34,-16.13250314
0.35,-15.18344291
0.36,-14.22218375
0.37,-13.24979845
0.38,-12.267299
0.39,-11.27564377
0.40,-10.27574382
0.41,-9.268468595
0.42,-8.254651156
0.43,-7.235092916
0.44,-6.210567998
0.45,-5.181827285
0.46,-4.149602198
0.47,-3.114608252
0.48,-2.077548443
0.49,-1.039116495
0.50,0
0.51,1.039116495
0.52,2.077548443
0.53,3.114608252
0.54,4.149602198
0.55,5.181827285
0.56,6.210567998
0.57,7.235092916
0.58,8.254651156
0.59,9.268468595
0.60,10.27574382
0.61,11.27564377
0.62,12.267299
0.63,13.24979845
0.64,14.22218375
0.65,15.18344291
0.66,16.13250314
0.67,17.06822304
0.68,17.98938355
0.69,18.89467789
0.70,19.78269994
0.71,20.65193107
0.72,21.5007249
0.73,22.32728968
0.74,23.12966779
0.75,23.90571178
0.76,24.65305616
0.77,25.36908395
0.78,26.76900032
0.79,28.16891669
0.8,29.39007794
0.81,29.93438703
0.82,29.94726003
0.83,29.53528248
0.84,28.78213329
0.85,27.7564791
0.86,26.5161505
0.87,25.11044328
0.88,23.58142794
0.89,21.96472324
0.90,20.28997483
0.91,18.58115667
0.92,16.85672919
0.93,15.12961341
0.94,13.40684119
0.95,11.68855061
0.96,9.965514948
0.97,8.212907684
0.98,6.372085234
0.99,4.276031983
1.00,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
