838219856
0.04 9.192820
0.04 9.99 38197344
0.04 9.99 38201836
0.04 9.99 38206340
0.04 9.99 38210852
0.04 9.99 38215336
0.04 9.99 38219856
0.04 9.AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
0.00 0.00 6548420
0.00 0.00 6553520
0.00 0.02 6558468
0.00 0.04 6563528
0.00 0.06 6568468
0.00 0.09 6573536
0.00 0.13 6578468
-0.00 0.17 6583636
-0.00 0.22 6588564
-0.00 0.27 6593728
-0.00 0.32 6598716
-0.00 0.37 6603840
-0.00 0.42 6608732
-0.00 0.48 6613768
-0.00 0.54 6618756
-0.00 0.60 6623864
0.00 0.65 6628756
0.00 0.71 6633796
0.00 0.77 6638780
0.00 0.83 6643820
-0.00 0.89 6648796
-0.01 0.94 6653832
-0.01 1.00 6658832
-0.02 1.06 6663984
-0.02 1.11 6668948
-0.03 1.17 6674068
-0.04 1.22 6678940
-0.05 1.27 6684096
-0.06 1.32 6689328
-0.06 1.37 6694200
-0.07 1.41 6699448
-0.08 1.46 6704276
-0.08 1.50 6709464
-0.09 1.55 6714272
-0.10 1.59 6719464
-0.11 1.63 6724272
-0.12 1.67 6729468
-0.14 1.71 6734280
-0.15 1.75 6739484
-0.16 1.79 6744292
-0.17 1.82 6749492
-0.18 1.86 6754300
-0.20 1.90 6759484
-0.21 1.93 6764292
-0.23 1.97 6769488
-0.24 2.01 6774412
-0.26 2.04 6779616
-0.27 2.08 6784516
-0.29 2.11 6789744
-0.30 2.15 6794704
-0.32 2.19 6799856
-0.33 2.23 6804800
-0.35 2.26 6809956
-0.37 2.30 6814944
-0.39 2.34 6820100
-0.40 2.38 6825064
-0.42 2.42 6830200
-0.44 2.46 6835436
-0.46 2.50 6840292
-0.49 2.54 6845564
-0.51 2.59 6850372
-0.53 2.63 6855564
-0.55 2.68 6860488
-0.56 2.72 6865688
-0.58 2.77 6870672
