RSION: 0.5.0
Connect: 1
20
0.09 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
20
0.09 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
0.00 0.26 4147016
-0.00 0.27 4152428
-0.00 0.28 4158276
-0.00 0.29 4164032
-0.00 0.31 4169444
-0.00 0.34 4175300
-0.00 0.36 4181036
-0.00 0.39 4186452
-0.00 0.42 4192300
-0.00 0.46 4198044
-0.00 0.49 4203448
-0.00 0.53 4209172
-0.00 0.56 4214704
0.00 0.60 4220368
0.00 0.64 4226208
0.00 0.68 4231592
-0.00 0.74 4237348
-0.00 0.79 4243088
-0.00 0.84 4248604
-0.00 0.89 4254348
-0.00 0.95 4260096
-0.01 1.00 4265596
-0.01 1.06 4271352
-0.01 1.13 4277092
-0.01 1.20 4282592
-0.02 1.27 4288336
-0.02 1.34 4294080
-0.03 1.41 4299592
-0.04 1.49 4305348
-0.04 1.57 4311104
-0.05 1.65 4316596
-0.06 1.73 4322356
-0.06 1.82 4328108
-0.07 1.89 4333604
-0.08 1.97 4339356
-0.09 2.05 4345108
-0.10 2.12 4350604
-0.11 2.20 4356348
-0.12 2.27 4362096
-0.13 2.33 4367600
-0.14 2.39 4373340
-0.15 2.45 4379092
-0.16 2.51 4384592
-0.17 2.57 4390352
-0.18 2.62 4396100
-0.19 2.67 4401592
-0.20 2.72 4407352
-0.21 2.76 4413104
-0.22 2.80 4418596
-0.24 2.84 4424348
-0.25 2.88 4430108
-0.27 2.92 4435604
-0.28 2.95 4441356
-0.29 2.98 4447096
-0.29 3.01 4452600
-0.30 3.04 4458348
-0.31 3.08 4464088
-0.32 3.10 4469600
-0.33 3.12 4475360
-0.33 3.15 4481096
-0.34 3.17 4486596
-0.35 3.20 4492344
-0.35 3.22 4498100
-0.36 3.23 4503604
-0.36 3.24 4509348
-0.37 3.26 4515100
-0.37 3.27 4520600
-0.38 3.28 4526348
-0.38 3.29 4532096
-0.38 3.29 4537600
-0.39 3.30 4543344
-0.39 3.30 4549096
-0.39 3.30 4554588
-0.39 3.30 4560348
-0.39 3.29 4566104
-0.39 3.29 4571592
-0.39 3.28 4577348
-0.39 3.28 4583104
-0.39 3.27 4588600
-0.39 3.27 4594356
-0.39 3.26 4600112
-0.39 3.26 4605604
-0.39 3.25 4611352
-0.39 3.25 4617096
-0.39 3.24 4622600
-0.39 3.24 4628340
-0.39 3.24 4634100
-0.39 3.24 4639496
-0.39 3.24 4645312
-0.39 3.24 4651100
-0.39 3.24 4656508
-0.39 3.25 4662352
-0.39 3.26 4668100
-0.39 3.26 4673500
-0.39 3.27 4679352
-0.39 3.28 4685112
-0.39 3.29 4690600
-0.39 3.30 4696340
-0.39 3.31 4702096
-0.39 3.33 4707496
-0.39 3.35 4713344
-0.39 3.37 4719104
-0.39 3.39 4724500
-0.39 3.41 4730364
-0.39 3.44 4736112
-0.40 3.46 4741604
-0.40 3.49 4747360
-0.40 3.52 4753108
-0.40 3.55 4758608
-0.40 3.59 4764352
-0.41 3.63 4770116
-0.41 3.67 4775608
-0.41 3.71 4781360
-0.42 3.75 4787112
-0.42 3.79 4792608
-0.43 3.83 4798356
-0.43 3.88 4804108
-0.44 3.94 4809600
-0.44 4.00 4815360
-0.45 4.05 4821112
-0.45 4.11 4826604
-0.46 4.18 4832360
-0.46 4.24 4838100
-0.47 4.31 4843612
-0.48 4.39 4849348
-0.48 4.46 4855112
-0.49 4.54 4860608
-0.49 4.62 4866360
-0.50 4.70 4872092
-0.50 4.78 4877604
-0.51 4.87 4883352
-0.51 4.95 4889108
-0.52 5.03 4894608
-0.52 5.11 4900372
-0.53 5.19 4906100
-0.53 5.26 4911600
-0.53 5.34 4917356
-0.54 5.42 4923108
-0.54 5.48 4928608
-0.54 5.55 4934360
-0.54 5.61 4940120
-0.55 5.67 4945608
-0.55 5.73 4951352
-0.55 5.78 4957100
-0.55 5.83 4962604
-0.55 5.89 4968348
-0.55 5.92 4974100
-0.56 5.97 4979600
-0.56 6.02 4985372
-0.56 6.06 4991112
-0.56 6.10 4996596
-0.56 6.14 5002352
-0.56 6.18 5008088
-0.56 6.22 5013512
-0.56 6.25 5019348
-0.56 0.00 5025076
-0.55 6.32 5030616
-0.56 6.35 5036364
-0.56 6.38 5042120
-0.56 6.41 5047524
-0.56 6.44 5053364
-0.56 6.47 5059124
-0.56 6.50 5064512
-0.56 6.54 5070380
-0.56 6.57 5076140
-0.56 6.61 5081624
-0.56 6.64 5087380
-0.56 6.68 5093124
-0.56 6.71 5098536
-0.56 6.75 5104372
-0.56 6.79 5110132
-0.56 6.82 5115628
-0.56 6.87 5121388
-0.56 6.92 5127132
-0.56 6.96 5132628
-0.56 7.01 5138380
-0.56 7.06 5144128
-0.56 7.11 5149536
-0.56 7.16 5155388
-0.56 7.22 5161144
-0.56 7.28 5166624
-0.56 7.34 5172388
-0.56 7.40 5178124
-0.56 7.46 5183548
-0.56 7.54 5189392
-0.56 7.61 5195144
-0.56 7.68 5200556
-0.56 7.76 5206404
-0.56 7.84 5212144
-0.56 7.92 5217556
-0.56 8.00 5223408
-0.56 8.09 5229152
-0.56 8.16 5234560
-0.56 8.24 5240408
-0.56 8.32 5246172
-0.56 8.39 5251656
-0.56 8.47 5257412
-0.55 8.53 5263156
-0.56 8.59 5268664
-0.56 8.65 5274412
-0.56 8.71 5280164
-0.56 8.77 5285572
-0.56 8.82 5291424
-0.56 8.87 5297168
-0.56 8.92 5302668
-0.56 8.96 5308412
-0.56 8.99 5314164
-0.56 9.03 5319656
-0.56 9.06 5325428
-0.56 9.09 5331172
-0.56 9.13 5336664
-0.56 9.16 5342424
-0.56 9.19 5348148
-0.56 9.21 5353572
-0.56 9.24 5359412
-0.56 9.26 5365164
-0.56 9.29 5370672
-0.56 9.31 5376428
-0.56 9.34 5382180
-0.56 9.36 5387672
-0.56 9.38 5393428
-0.56 9.40 5399172
-0.56 9.42 5404664
-0.56 9.44 5410420
-0.56 9.46 5416188
-0.56 9.48 5421672
-0.56 9.50 5427420
-0.56 9.52 5433168
-0.56 9.54 5438672
-0.56 9.57 5444412
-0.56 9.59 5450160
-0.56 9.61 5455576
-0.55 9.63 5461428
-0.56 9.66 5467176
-0.56 9.68 5472668
-0.56 9.70 5478416
-0.56 9.73 5484176
-0.56 9.76 5489672
-0.56 9.78 5495420
-0.56 9.81 5501172
-0.55 9.84 5506668
-0.55 9.88 5512424
-0.55 9.91 5518172
-0.56 9.94 5523668
-0.55 9.98 5529412
-0.55 10.01 5535216
-0.55 10.05 5540636
-0.55 10.09 5546484
-0.55 10.14 5552372
-0.55 10.19 5558228
-0.55 10.25 5563744
-0.55 10.30 5569548
-0.55 10.35 5575512
-0.55 10.42 5581424
-0.55 10.48 5587288
-0.55 10.54 5592716
-0.55 10.61 5598556
-0.55 10.69 5604444
-0.55 10.75 5610308
